assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3466788,132863,Acropora prostrata,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3468128,132866,Montipora angulata,9.8.1,Outer Reef Channel,,,Marginal
3468128,132866,Montipora angulata,9.8.2,Back Slope,,,Suitable
3468128,132866,Montipora angulata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3468128,132866,Montipora angulata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3468128,132866,Montipora angulata,9.8.4,Lagoon,,,Suitable
3490569,132913,Acropora rudis,9.8.2,Back Slope,,,Suitable
3490569,132913,Acropora rudis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3490569,132913,Acropora rudis,9.8.4,Lagoon,,,Marginal
3499437,132933,Acropora carduus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3499437,132933,Acropora carduus,9.8.4,Lagoon,,,Suitable
3499437,132933,Acropora carduus,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3503328,132942,Montipora patula,9.8.1,Outer Reef Channel,,,Suitable
3503328,132942,Montipora patula,9.8.2,Back Slope,,,Suitable
3503328,132942,Montipora patula,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3503328,132942,Montipora patula,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3503328,132942,Montipora patula,9.8.4,Lagoon,,,Suitable
3503904,132944,Montipora nodosa,9.8.1,Outer Reef Channel,,,Suitable
3503904,132944,Montipora nodosa,9.8.2,Back Slope,,,Suitable
3503904,132944,Montipora nodosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3503904,132944,Montipora nodosa,9.8.4,Lagoon,,,Suitable
3516341,132972,Acropora paniculata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3516341,132972,Acropora paniculata,9.8.4,Lagoon,,,Suitable
3520070,132979,Favites complanata,9.8.1,Outer Reef Channel,,,Suitable
3520070,132979,Favites complanata,9.8.2,Back Slope,,,Suitable
3520070,132979,Favites complanata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3520070,132979,Favites complanata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3520070,132979,Favites complanata,9.8.4,Lagoon,,,Suitable
3520070,132979,Favites complanata,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3524260,132987,Echinopora gemmacea,9.8.1,Outer Reef Channel,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.2,Back Slope,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3524260,132987,Echinopora gemmacea,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.4,Lagoon,,,Suitable
3524962,132988,Acropora longicyathus,9.8.2,Back Slope,,,Marginal
3524962,132988,Acropora longicyathus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3524962,132988,Acropora longicyathus,9.8.4,Lagoon,,,Suitable
3530977,133060,Goniastrea favulus,9.8.1,Outer Reef Channel,,,Marginal
3530977,133060,Goniastrea favulus,9.8.2,Back Slope,,,Suitable
3530977,133060,Goniastrea favulus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3530977,133060,Goniastrea favulus,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3530977,133060,Goniastrea favulus,9.8.4,Lagoon,,,Suitable
3530977,133060,Goniastrea favulus,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3534237,133003,Leptastrea bewickensis,9.8.2,Back Slope,,,Suitable
3534237,133003,Leptastrea bewickensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3534237,133003,Leptastrea bewickensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3534237,133003,Leptastrea bewickensis,9.8.4,Lagoon,,,Suitable
3539345,133080,Acropora selago,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3539345,133080,Acropora selago,9.8.4,Lagoon,,,Suitable
3540541,133010,Acropora elseyi,9.8.2,Back Slope,,,Marginal
3540541,133010,Acropora elseyi,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3540541,133010,Acropora elseyi,9.8.4,Lagoon,,,Suitable
3545567,133015,Montipora millepora,9.8.1,Outer Reef Channel,,,Marginal
3545567,133015,Montipora millepora,9.8.2,Back Slope,,,Suitable
3545567,133015,Montipora millepora,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3545567,133015,Montipora millepora,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3545567,133015,Montipora millepora,9.8.4,Lagoon,,,Suitable
3561302,133101,Goniastrea minuta,9.8.1,Outer Reef Channel,,,Marginal
3561302,133101,Goniastrea minuta,9.8.2,Back Slope,,,Suitable
3561302,133101,Goniastrea minuta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3561302,133101,Goniastrea minuta,9.8.4,Lagoon,,,Suitable
