assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
3466788,132863,Acropora prostrata,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3466788,132863,Acropora prostrata,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3466788,132863,Acropora prostrata,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3468128,132866,Montipora angulata,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3468128,132866,Montipora angulata,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3468128,132866,Montipora angulata,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3490569,132913,Acropora rudis,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3490569,132913,Acropora rudis,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3490569,132913,Acropora rudis,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3490569,132913,Acropora rudis,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3490569,132913,Acropora rudis,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3490569,132913,Acropora rudis,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3490569,132913,Acropora rudis,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3490569,132913,Acropora rudis,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3499437,132933,Acropora carduus,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3499437,132933,Acropora carduus,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3499437,132933,Acropora carduus,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3499437,132933,Acropora carduus,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3499437,132933,Acropora carduus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3499437,132933,Acropora carduus,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3499437,132933,Acropora carduus,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3499437,132933,Acropora carduus,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3503328,132942,Montipora patula,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3503328,132942,Montipora patula,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3503328,132942,Montipora patula,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3503328,132942,Montipora patula,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503328,132942,Montipora patula,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503328,132942,Montipora patula,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503328,132942,Montipora patula,8.1.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3503328,132942,Montipora patula,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3516341,132972,Acropora paniculata,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3516341,132972,Acropora paniculata,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3520070,132979,Favites complanata,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3520070,132979,Favites complanata,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3520070,132979,Favites complanata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3520070,132979,Favites complanata,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3520070,132979,Favites complanata,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3520070,132979,Favites complanata,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
