assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
3621724,133188,Echinopora hirsutissima,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,hirsutissima,,,,"Milne Edwards &amp; Haime, 1849",Least Concern,,3.1,Decreasing,Global
3624060,133193,Heliopora coerulea,ANIMALIA,CNIDARIA,HELIOPORACEA,ANTHOZOA,HELIOPORIDAE,Heliopora,coerulea,,,,Pallas 1766,Vulnerable,A4cde,3.1,Decreasing,Global
3625707,133196,Montipora incrassata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,incrassata,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3631022,133207,Acropora clathrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,clathrata,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3633217,133210,Favia speciosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,speciosa,,,,"Dana, 1846",Least Concern,,3.1,Decreasing,Global
3639848,133223,Acropora donei,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,donei,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3646741,133238,Montipora hispida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,hispida,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3651115,133245,Montipora spongodes,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,spongodes,,,,"Bernard, 1897",Least Concern,,3.1,Decreasing,Global
3655366,133252,Acropora tortuosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,tortuosa,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3659374,133260,Trachyphyllia geoffroyi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,TRACHYPHYLLIIDAE,Trachyphyllia,geoffroyi,,,,Audouin 1826,Near Threatened,,3.1,Decreasing,Global
3661951,133266,Acropora nobilis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,nobilis,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3664344,133271,Acropora sarmentosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,sarmentosa,,,,"(Brook, 1892)",Least Concern,,3.1,Decreasing,Global
3667540,133278,Leptastrea pruinosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptastrea,pruinosa,,,,"Crossland, 1952",Least Concern,,3.1,Decreasing,Global
3676822,133298,Montipora turgescens,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,turgescens,,,,"Bernard, 1897",Least Concern,,3.1,Decreasing,Global
3681329,133307,Favia rotundata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,rotundata,,,,"Veron Pichon &amp; Wijsman-Best, 1972",Near Threatened,,3.1,Decreasing,Global
3682860,133310,Leptoria irregularis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptoria,irregularis,,,,"Veron, 1990",Vulnerable,A4c,3.1,Decreasing,Global
3684008,133313,Acropora cytherea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,cytherea,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3687166,133319,Acropora horrida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,horrida,,,,"(Dana, 1846)",Vulnerable,A4cde,3.1,Decreasing,Global
3688042,133320,Acropora solitaryensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,solitaryensis,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3689003,133322,Acropora dendrum,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,dendrum,,,,"(Bassett-Smith, 1890)",Vulnerable,A4ce,3.1,Decreasing,Global
3694756,133333,Oulophyllia bennettae,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Oulophyllia,bennettae,,,,"(Veron &amp; Pichon, 1977)",Near Threatened,,3.1,Decreasing,Global
3706472,133359,Acropora microclados,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,microclados,,,,"(Ehrenberg, 1834)",Vulnerable,A4ce,3.1,Decreasing,Global
3721615,133392,Favia laxa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,laxa,,,,"(Klunzinger, 1879)",Near Threatened,,3.1,Decreasing,Global
3734638,133417,Caulastrea furcata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Caulastrea,furcata,,,,"Dana, 1846",Least Concern,,3.1,Decreasing,Global
3737366,133422,Montipora capricornis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,capricornis,,,,"Veron, 1985",Vulnerable,A4ce,3.1,Decreasing,Global
3738458,133424,Leptastrea inaequalis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptastrea,inaequalis,,,,"Klunzinger, 1879",Near Threatened,,3.1,Decreasing,Global
3741135,133429,Echinopora horrida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,horrida,,,,"Dana, 1846",Near Threatened,,3.1,Decreasing,Global
3743106,133433,Montipora crassituberculata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,crassituberculata,,,,"Bernard, 1897",Vulnerable,A4c,3.1,Decreasing,Global
3748279,133443,Montipora australiensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,australiensis,,,,"Bernard, 1897",Vulnerable,A4ce,3.1,Decreasing,Global
3751322,133450,Montipora turtlensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,turtlensis,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4c,3.1,Decreasing,Global
3756703,133460,Montipora cocosensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,cocosensis,,,,"Vaughan, 1918",Vulnerable,A4ce,3.1,Decreasing,Global
3761342,133471,Acropora bushyensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,bushyensis,,,,"Veron &amp; Wallace, 1984",Least Concern,,3.1,Decreasing,Global
3765052,133479,Acropora hyacinthus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,hyacinthus,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3766092,133481,Acropora chesterfieldensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,chesterfieldensis,,,,"Veron &amp; Wallace, 1984",Least Concern,,3.1,Decreasing,Global
3780151,133510,Favia lizardensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,lizardensis,,,,"Veron &amp; Pichon, 1977",Near Threatened,,3.1,Decreasing,Global
3781375,133513,Acropora anthocercis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,anthocercis,,,,"(Brook, 1893)",Vulnerable,A4ce,3.1,Decreasing,Global
3794074,133541,Isopora elizabethensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Isopora,elizabethensis,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3796328,133547,Acropora yongei,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,yongei,,,,"Veron &amp; Wallace, 1984",Least Concern,,3.1,Decreasing,Global
3798083,133550,Acropora glauca,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,glauca,,,,"(Brook, 1893)",Near Threatened,,3.1,Decreasing,Global
3800877,133556,Montipora spumosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,spumosa,,,,"(Lamarck, 1816)",Least Concern,,3.1,Decreasing,Global
3804883,133563,Montipora peltiformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,peltiformis,,,,"Bernard, 1897",Near Threatened,,3.1,Decreasing,Global
3821970,133599,Montipora undata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,undata,,,,"Bernard, 1897",Near Threatened,,3.1,Decreasing,Global
3832396,133621,Acropora valenciennesi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,valenciennesi,,,,"(Milne Edwards &amp; Haime, 1860)",Least Concern,,3.1,Decreasing,Global
