assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3498147,132930,Montipora gaimardi,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3498147,132930,Montipora gaimardi,9.8.4,Lagoon,,,Suitable
3498522,132931,Acropora willisae,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3498522,132931,Acropora willisae,9.8.4,Lagoon,,,Suitable
3499437,132933,Acropora carduus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3499437,132933,Acropora carduus,9.8.4,Lagoon,,,Suitable
3499437,132933,Acropora carduus,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3500180,132935,Acropora plumosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3500180,132935,Acropora plumosa,9.8.4,Lagoon,,,Suitable
3503328,132942,Montipora patula,9.8.1,Outer Reef Channel,,,Suitable
3503328,132942,Montipora patula,9.8.2,Back Slope,,,Suitable
3503328,132942,Montipora patula,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3503328,132942,Montipora patula,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3503328,132942,Montipora patula,9.8.4,Lagoon,,,Suitable
3503904,132944,Montipora nodosa,9.8.1,Outer Reef Channel,,,Suitable
3503904,132944,Montipora nodosa,9.8.2,Back Slope,,,Suitable
3503904,132944,Montipora nodosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3503904,132944,Montipora nodosa,9.8.4,Lagoon,,,Suitable
3504801,132946,Acropora lianae,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3506667,132950,Acropora macrostoma,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3507379,132952,Acropora variabilis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3515966,132971,Acropora tumida,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3516341,132972,Acropora paniculata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3516341,132972,Acropora paniculata,9.8.4,Lagoon,,,Suitable
3516876,132973,Anacropora matthai,9.8.4,Lagoon,,,Suitable
3516876,132973,Anacropora matthai,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3520070,132979,Favites complanata,9.8.1,Outer Reef Channel,,,Suitable
3520070,132979,Favites complanata,9.8.2,Back Slope,,,Suitable
3520070,132979,Favites complanata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3520070,132979,Favites complanata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3520070,132979,Favites complanata,9.8.4,Lagoon,,,Suitable
3520070,132979,Favites complanata,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3521498,132981,Acropora hemprichii,9.8.1,Outer Reef Channel,,,Suitable
3521498,132981,Acropora hemprichii,9.8.2,Back Slope,,,Suitable
3521498,132981,Acropora hemprichii,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3521498,132981,Acropora hemprichii,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3521498,132981,Acropora hemprichii,9.8.4,Lagoon,,,Suitable
3521498,132981,Acropora hemprichii,9.8.6,Inter-Reef Rubble Substrate,,,Unknown
3521498,132981,Acropora hemprichii,9.8.5,Inter-Reef Soft Substrate,,,Unknown
3524260,132987,Echinopora gemmacea,9.8.1,Outer Reef Channel,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.2,Back Slope,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3524260,132987,Echinopora gemmacea,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3524260,132987,Echinopora gemmacea,9.8.4,Lagoon,,,Suitable
3524962,132988,Acropora longicyathus,9.8.2,Back Slope,,,Marginal
3524962,132988,Acropora longicyathus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3524962,132988,Acropora longicyathus,9.8.4,Lagoon,,,Suitable
3530977,133060,Goniastrea favulus,9.8.1,Outer Reef Channel,,,Marginal
3530977,133060,Goniastrea favulus,9.8.2,Back Slope,,,Suitable
3530977,133060,Goniastrea favulus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3530977,133060,Goniastrea favulus,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3530977,133060,Goniastrea favulus,9.8.4,Lagoon,,,Suitable
3530977,133060,Goniastrea favulus,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3532888,133061,Acropora tizardi,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3534237,133003,Leptastrea bewickensis,9.8.2,Back Slope,,,Suitable
3534237,133003,Leptastrea bewickensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3534237,133003,Leptastrea bewickensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3534237,133003,Leptastrea bewickensis,9.8.4,Lagoon,,,Suitable
3537466,133007,Montipora malampaya,9.8.2,Back Slope,,,Suitable
3537466,133007,Montipora malampaya,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3537466,133007,Montipora malampaya,9.8.4,Lagoon,,,Suitable
3537856,133078,Favites acuticollis,9.8.2,Back Slope,,,Suitable
3537856,133078,Favites acuticollis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3537856,133078,Favites acuticollis,9.8.4,Lagoon,,,Suitable
3539345,133080,Acropora selago,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3539345,133080,Acropora selago,9.8.4,Lagoon,,,Suitable
3540096,133081,Acropora kirstyae,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3540096,133081,Acropora kirstyae,9.8.4,Lagoon,,,Suitable
3540096,133081,Acropora kirstyae,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3540541,133010,Acropora elseyi,9.8.2,Back Slope,,,Marginal
3540541,133010,Acropora elseyi,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3540541,133010,Acropora elseyi,9.8.4,Lagoon,,,Suitable
3545567,133015,Montipora millepora,9.8.1,Outer Reef Channel,,,Marginal
3545567,133015,Montipora millepora,9.8.2,Back Slope,,,Suitable
3545567,133015,Montipora millepora,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3545567,133015,Montipora millepora,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3545567,133015,Montipora millepora,9.8.4,Lagoon,,,Suitable
