assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1606648,180257,Holothuria scabra,ZA,South Africa,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,SO,Somalia,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,RE,Réunion,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,ER,Eritrea,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,DJ,Djibouti,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,YE,Yemen,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,SA,Saudi Arabia,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,JO,Jordan,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,IL,Israel,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,KH,Cambodia,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,IO,British Indian Ocean Territory,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,BD,Bangladesh,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,WF,Wallis and Futuna,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,TV,Tuvalu,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,NR,Nauru,Extant,Native,"[""Resident""]",
1606648,180257,Holothuria scabra,TW,"Taiwan, Province of China",Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,SB,Solomon Islands,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,SA,Saudi Arabia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,CK,Cook Islands,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TV,Tuvalu,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TW,"Taiwan, Province of China",Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,NC,New Caledonia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,YT,Mayotte,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TZ,"Tanzania, United Republic of",Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,EG,Egypt,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,ER,Eritrea,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,PW,Palau,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,YE,Yemen,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MP,Northern Mariana Islands,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MM,Myanmar,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,AU,Australia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,VU,Vanuatu,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,RE,Réunion,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,VN,Viet Nam,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MG,Madagascar,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MH,Marshall Islands,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,ID,Indonesia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MV,Maldives,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MU,Mauritius,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,AS,American Samoa,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,IL,Israel,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MZ,Mozambique,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,IN,India,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,MY,Malaysia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,JP,Japan,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,JO,Jordan,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TK,Tokelau,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TH,Thailand,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,TO,Tonga,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,NR,Nauru,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,BN,Brunei Darussalam,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,KI,Kiribati,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,FJ,Fiji,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,FM,"Micronesia, Federated States of ",Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,KH,Cambodia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,KE,Kenya,Extant,Native,"[""Resident""]",
